2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-356-49-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-356-49-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.832899+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 356, "y": 49}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.832899+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 356, "y": 49}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-356-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-356-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.833115+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 356, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.833115+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 356, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-356-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-356-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.833370+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 356, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.833370+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 356, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-360-44-3-6-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-360-44-3-6-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.833655+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 360, "y": 44}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.833655+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 360, "y": 44}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#FFE9E3", "h": 5, "id": "EDR-warning-wanted-bar-360-52-3-5-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#FFE9E3", "h": 5, "id": "EDR-warning-wanted-bar-360-52-3-5-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.833861+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 360, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.833861+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 360, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#cc8e33", "h": 1, "id": "EDR-warning-bounty-bar-360-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#cc8e33", "h": 1, "id": "EDR-warning-bounty-bar-360-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.834046+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 360, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.834046+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 360, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-364-49-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-364-49-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.834226+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 364, "y": 49}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.834226+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 364, "y": 49}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-364-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-364-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.834414+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 364, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.834414+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 364, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-364-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-364-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.834527+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 364, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.834527+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 364, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-368-44-3-6-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-368-44-3-6-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.834675+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 368, "y": 44}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.834675+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 368, "y": 44}
